customer_id,invoice_id,credit_score,amount,issue_date,due_date,payment_date,is_late,delay_days
1.0,1,497.874528628628,729.4441636073387,2024-10-28 03:20:27.337144736,2024-11-27 03:20:27.337144736,2024-11-27 03:20:27.337144736,False,0.0
1.0,2,497.874528628628,898.2788829491888,2024-05-01 23:49:23.957935790,2024-05-31 23:49:23.957935790,2024-05-31 23:49:23.957935790,False,0.0
1.0,3,497.874528628628,1083.1626751267124,2024-03-05 10:29:52.166408448,2024-04-04 10:29:52.166408448,2024-04-04 10:29:52.166408448,False,0.0
1.0,4,497.874528628628,2809.735804929287,2024-10-23 09:12:05.702686220,2024-11-22 09:12:05.702686220,2024-11-22 09:12:05.702686220,False,0.0
1.0,5,497.874528628628,2189.2410462039093,2024-06-05 09:16:50.059724940,2024-07-05 09:16:50.059724940,2024-07-13 18:57:27.046929252,True,8.403205870420283
1.0,6,497.874528628628,789.5133392637803,2024-03-05 06:51:07.554897648,2024-04-04 06:51:07.554897648,2024-04-14 14:50:21.030372236,True,10.332794855029961
1.0,7,497.874528628628,798.0692446324938,2024-02-12 01:30:39.364964840,2024-03-13 01:30:39.364964840,2024-03-29 05:36:51.615939667,True,16.17097512702346
1.0,8,497.874528628628,2201.960479812293,2024-09-20 15:50:06.801524704,2024-10-20 15:50:06.801524704,2024-10-29 21:43:24.020186147,True,9.245338178951892
1.0,9,497.874528628628,804.5153065527169,2024-09-25 09:24:35.195909740,2024-10-25 09:24:35.195909740,2024-11-22 21:50:41.938739031,True,28.518133597561246
1.0,10,497.874528628628,1098.771402484029,2024-03-01 01:00:31.985785309,2024-03-31 01:00:31.985785309,2024-04-06 06:29:17.878726874,True,6.228308946082929
2.0,11,461.31483274150196,2397.866552907469,2024-03-05 19:41:36.863388524,2024-04-04 19:41:36.863388524,2024-04-04 19:41:36.863388524,False,0.0
2.0,12,461.31483274150196,3389.3218282704843,2024-10-08 08:31:08.174390876,2024-11-07 08:31:08.174390876,2024-11-21 14:13:58.379918902,True,14.238081082500306
2.0,13,461.31483274150196,1389.3178075956187,2024-12-03 01:21:45.664606260,2025-01-02 01:21:45.664606260,2025-02-03 20:25:03.547128096,True,32.79395697363236
2.0,14,461.31483274150196,1944.231263342336,2024-09-14 06:01:08.487934716,2024-10-14 06:01:08.487934716,2024-10-14 06:01:08.487934716,False,0.0
2.0,15,461.31483274150196,820.6871223030079,2024-05-09 18:17:45.272458292,2024-06-08 18:17:45.272458292,2024-06-21 09:21:20.539529151,True,12.62749151702383
